是否监控,红人链接,平台,是否出视频,红人名称,样品型号,红人编码,地区,负责人,合作日期,合作进度,合作模式,合作车型,合作量级,合作服务,合同签署日期,合同类型,预计视频交付,已上线视频,待补视频交付,视频交付完成率,合同交付平台拆分,合同交付解析状态,红人粉丝数据,粉丝数据来源,粉丝数据更新时间,追踪优先级,追踪评分,追踪原因,追踪批次更新时间,url,url2,url3,合作周期
是,"{""link"":""https://www.instagram.com/makethehoodsmile/"",""text"":""https://www.instagram.com/makethehoodsmile/""}",instagramreels,否,makethehoodsmile,"yozma, yozmasport，in10",US-Stefan-041,US,Stefan,2026-03-19,未出视频,已签合同盖章,IN 10 Pro,腰部红人(100k-1M),已签合同盖章,,,,0,,,,,711000,营销总表,2026-06-22,P3 暂缓,35,当前本地未登记视频,2026-06-07,,,,
是,"{""link"":""https://www.youtube.com/@TooTurntTony/shorts"",""text"":""https://www.youtube.com/@TooTurntTony/shorts""}",youtubeshort,否,tooturnttony,"yozma, yozmasport，in10",US-Lexy-070,US,Lexy,2026-05-06,已出视频,已签合同,IN 10 Pro,头部红人(>1M),内容红人,2026-05-08,免费,,1,,,待人工确认,待人工确认,20400000,营销总表,2026-06-22,P3 暂缓,-50,头腰部已上线且未出单，低优先,2026-06-07,,,,
否,"{""link"":""https://www.youtube.com/@Bbybippinnn"",""text"":""https://www.youtube.com/@Bbybippinnn""}",youtubevideo,否,bbybippinn,"yozma, yozmasport，in10",US-Vivi-010,US,Vivi,2026-05-28,已出视频,已签合同,IN 10 Pro,尾部红人(10k-100k),内容红人,2026-05-29,免费,18,1,17,6%,TikTok 18条,已解析,23000,营销总表,2026-06-22,P3 暂缓,20,普通/小体量达人更需要追踪,2026-06-07,,,,
是,"{""link"":""https://www.tiktok.com/@joyonwheels"",""text"":""https://www.tiktok.com/@joyonwheels""}",tiktok,否,JoyOnWheels,"yozma, yozmasport，in10",EU-Zoe-017,EU,Zoe,2026-04-13,已出视频,已签合同,IN 10,腰部红人(100k-1M),内容红人,2026-04-15,免费,3,1,2,33%,Instagram Reels 2条 / YouTube Video 1条,已解析,178000,营销总表,2026-06-22,P0 立刻追踪,150,正在出单；2026已上线但仍出单,2026-06-07,,,,
否,"{""link"":""https://www.youtube.com/@CalebEckenrode/videos"",""text"":""https://www.youtube.com/@CalebEckenrode/videos""}",youtube,否,Caleb Eckenrode,"yozma, yozmasport，in10",US-Stefan-040,US,Stefan,2025-10-01,已出视频,已签合同盖章,IN 10,腰部红人(100k-1M),已签合同盖章,,,,0,,,,,248000,营销总表,2026-06-22,,,,,,,,
是,"{""link"":""https://www.tiktok.com/@zeeksteryt"",""text"":""https://www.tiktok.com/@zeeksteryt""}",tiktok,否,zeekster,"yozma, yozmasport，in10",US-Stefan-047,US,Stefan,2026-02-03,已出视频,已签同意书盖章,IN 10 Pro,腰部红人(100k-1M),已签同意书盖章,,,,8,,,,,86300,营销总表,2026-06-22,P0 立刻追踪,120,正在出单；普通/小体量达人更需要追踪,2026-06-07,,,,
是,"{""link"":""https://www.tiktok.com/@jakorut"",""text"":""https://www.tiktok.com/@jakorut""}",tiktok,否,jakerutk,"yozma, yozmasport，in10",US-Lexy-064,US,Lexy,2026-04-24,已出视频,已签合同,IN 10 Pro,尾部红人(10k-100k),内容红人,2026-04-27,免费,,1,,,待人工确认,待人工确认,92000,营销总表,2026-06-22,P0 立刻追踪,135,2026合作未上线/未登记上线；当前本地未登记视频；普通/小体量达人更需要追踪,2026-06-07,,,,
是,"{""link"":""https://www.instagram.com/baftek_bb/"",""text"":""https://www.instagram.com/baftek_bb/""}",instagramreels,否,Baftek,"yozma, yozmasport，in10",EU-Zoe-018,EU,Zoe,2026-04-13,未出视频,已签合同,IN 10,腰部红人(100k-1M),内容红人,2026-04-15,免费,3,1,2,33%,Instagram Reels 2条 / YouTube Video 1条,已解析,121000,营销总表,2026-06-22,P3 暂缓,-50,头腰部已上线且未出单，低优先,2026-06-07,,,,
否,"{""link"":""https://www.tiktok.com/@stxzle?lang=zh-Hans"",""text"":""https://www.tiktok.com/@stxzle?lang=zh-Hans""}",tiktok,否,stxzle,"yozma, yozmasport，in10",US-Lexy-023,US,Lexy,2026-01-26,已出视频,已签同意书盖章,IN 10,尾部红人(10k-100k),已签同意书盖章,,,,0,,,,,30100,营销总表,2026-06-22,,,,,,,,
否,"{""link"":""https://www.instagram.com/fnsmallenginerepair/"",""text"":""https://www.instagram.com/fnsmallenginerepair/""}",instagram,否,fnsmallenginerepair,"yozma, yozmasport，in10",US-Stefan-095,US,Stefan,2025-12-01,已出视频,已签同意书盖章,IN 10,腰部红人(100k-1M),已签同意书盖章,,,,0,,,,,147000,营销总表,2026-06-22,,,,,,,,
