是否监控,红人链接,平台,是否出视频,红人名称,样品型号,红人编码,地区,负责人,红人粉丝数据,粉丝数据来源,粉丝数据更新时间,追踪优先级,追踪评分,追踪原因,追踪批次更新时间,url,url2,url3
是,"{""link"":""https://www.instagram.com/oneway.elijah"",""text"":""https://www.instagram.com/oneway.elijah""}",instagramreels,否,oneway.elijah,"yozma, yozmasport，in10",US-Ryan-009,US,Ryan,21000,营销总表,2026-06-07,P0 立刻追踪,135,2026合作未上线/未登记上线；当前本地未登记视频；普通/小体量达人更需要追踪,2026-06-07,,,
否,"{""link"":""https://www.instagram.com/itsreidmiller/"",""text"":""https://www.instagram.com/itsreidmiller/""}",instagramreels,否,itsreidmiller,"yozma, yozmasport，in10",US-Lexy-017,US,Lexy,12400,营销总表,2026-06-07,,,,,,,
是,"{""link"":""https://www.youtube.com/@TheSargiFamily/videos"",""text"":""https://www.youtube.com/@TheSargiFamily/videos""}",youtubevideo,否,The Sargi Family,"yozma, yozmasport，in10",US-Ryan-031,US,Ryan,382000,,,P1 本周追踪,115,2026合作未上线/未登记上线；当前本地未登记视频,2026-06-07,,,
否,"{""link"":""https://www.youtube.com/@ZaySolis119/shorts"",""text"":""https://www.youtube.com/@ZaySolis119/shorts""}",youtubeshort,否,Zay Solis,"yozma, yozmasport，in10",US-Stefan-121,US,Stefan,587000,营销总表,2026-06-07,,,,,,,
否,"{""link"":""https://www.tiktok.com/@slapthatcatch1"",""text"":""https://www.tiktok.com/@slapthatcatch1""}",tiktok,,slapthatcatch,"yozma, yozmasport，in10",US-Lexy-010,US,Lexy,202700,营销总表,2026-06-07,,,,,,,
否,"{""link"":""https://www.youtube.com/@jar7d/videos"",""text"":""https://www.youtube.com/@jar7d/videos""}",youtubevideo,否,jar7d_,"yozma, yozmasport，in10",US-Stefan-109,US,Stefan,103000,,,,,,,,,
否,"{""link"":""https://www.instagram.com/oneway.cyy/"",""text"":""https://www.instagram.com/oneway.cyy/""}",instagram,,oneway.cyy,"yozma, yozmasport，in10",US-Vivi-014,US,Vivi,117000,营销总表,2026-06-07,,,,,,,
是,"{""link"":""https://www.tiktok.com/@surron.ryan"",""text"":""https://www.tiktok.com/@surron.ryan""}",tiktok,是,surron.ryan,"yozma, yozmasport，in10",US-Lexy-061,US,Lexy,10200,营销总表,2026-06-07,P2 低频追踪,75,2026普通达人需继续追上线；普通/小体量达人更需要追踪,2026-06-07,"{""text"":""https://www.tiktok.com/@surron.ryan/video/7647521979142098206"",""link"":""https://www.tiktok.com/@surron.ryan/video/7647521979142098206""}","{""text"":""https://www.tiktok.com/@surron.ryan/video/7645505569813515533"",""link"":""https://www.tiktok.com/@surron.ryan/video/7645505569813515533""}",
否,"{""link"":""https://www.tiktok.com/@ryder_sx"",""text"":""https://www.tiktok.com/@ryder_sx""}",tiktok,,ryder_sx,"yozma, yozmasport，in10",US-Lexy-007,US,Lexy,122800,营销总表,2026-06-07,,,,,,,
是,"{""link"":""https://www.tiktok.com/@music_and_rhythm"",""text"":""https://www.tiktok.com/@music_and_rhythm""}",tiktok,否,music_and_rhythm,"yozma, yozmasport，in10",US-Stefan-154,US,Stefan,280000,营销总表,2026-06-07,P0 立刻追踪,150,正在出单；2026已上线但仍出单,2026-06-07,,,
是,"{""link"":""https://www.youtube.com/@thebikecave/shorts"",""text"":""https://www.youtube.com/@thebikecave/shorts""}",youtube,,The Bike Cave,"yozma, yozmasport，in10",US-Stefan-067,US,Stefan,91800,营销总表,2026-06-07,P3 暂缓,20,普通/小体量达人更需要追踪,2026-06-07,,,
是,"{""link"":""https://www.instagram.com/alexninja636/"",""text"":""https://www.instagram.com/alexninja636/""}",instagramreels,否,alexninja636,"yozma, yozmasport，in10",EU-Zoe-015,EU,Zoe,114000,营销总表,2026-06-07,P1 本周追踪,115,2026合作未上线/未登记上线；当前本地未登记视频,2026-06-07,,,
否,"{""link"":""https://www.instagram.com/jack_blatch/"",""text"":""https://www.instagram.com/jack_blatch/""}",instagram,,jack_blatch,"yozma, yozmasport，in10",US-Stefan-106,US,Stefan,10000,营销总表,2026-06-07,,,,,,,
否,"{""link"":""https://www.youtube.com/@wafflekozik/shorts"",""text"":""https://www.youtube.com/@wafflekozik/shorts""}",youtubeshort,否,wafflekozik,"yozma, yozmasport，in10",US-Stefan-139,US,Stefan,67800,,,P1 本周追踪,115,2026合作未上线/未登记上线；当前本地未登记视频,2026-06-07,,,
是,"{""link"":""https://www.youtube.com/@MakeTheHoodSmile"",""text"":""https://www.youtube.com/@MakeTheHoodSmile""}",youtubevideo,否,makethehoodsmile,"yozma, yozmasport，in10",US-Stefan-041,US,Stefan,720000,营销总表,2026-06-07,P3 暂缓,35,当前本地未登记视频,2026-06-07,,,
否,"{""link"":""https://www.youtube.com/@x3tyler/shorts"",""text"":""https://www.youtube.com/@x3tyler/shorts""}",youtubeshort,否,x3tyler28,"yozma, yozmasport，in10",US-Lexy-033,US,Lexy,11400,营销总表,2026-06-07,P2 低频追踪,75,2026普通达人需继续追上线；普通/小体量达人更需要追踪,2026-06-07,,,
否,"{""link"":""https://www.youtube.com/@radutz_/videos"",""text"":""https://www.youtube.com/@radutz_/videos""}",youtubevideo,是,Radutz_,"yozma, yozmasport，in10",EU-Zoe-009,EU,Zoe,86400,营销总表,2026-06-07,,,,,"{""text"":""https://www.youtube.com/watch?v=uYO63ZDiRFE"",""link"":""https://www.youtube.com/watch?v=uYO63ZDiRFE""}",,
否,"{""link"":""https://www.instagram.com/offline.red/"",""text"":""https://www.instagram.com/offline.red/""}",instagramreels,否,redshogo,"yozma, yozmasport，in10",US-Lexy-028,US,Lexy,852500,营销总表,2026-06-07,,,,,,,
否,"{""link"":""https://www.youtube.com/@hazedrider/videos"",""text"":""https://www.youtube.com/@hazedrider/videos""}",youtubevideo,否,hazedrider,"yozma, yozmasport，in10",US-Lexy-027,US,Lexy,121000,营销总表,2026-06-07,,,,,,,
否,"{""link"":""https://www.youtube.com/@Zenith.Garage/videos"",""text"":""https://www.youtube.com/@Zenith.Garage/videos""}",youtubevideo,否,Zenith FRS,"yozma, yozmasport，in10",US-Stefan-054,US,Stefan,156000,,,,,,,,,
是,"{""link"":""https://www.instagram.com/sloany_rides/"",""text"":""https://www.instagram.com/sloany_rides/""}",instagramreels,是,sloany_rides,"yozma, yozmasport，in10",US-Stefan-163,US,Stefan,8900,营销总表,2026-06-07,P2 低频追踪,75,2026普通达人需继续追上线；普通/小体量达人更需要追踪,2026-06-07,"{""text"":""https://www.instagram.com/p/DXvDxCzSvQd/"",""link"":""https://www.instagram.com/p/DXvDxCzSvQd/""}",,
否,"{""link"":""https://www.youtube.com/@akarozzy/shorts"",""text"":""https://www.youtube.com/@akarozzy/shorts""}",youtube,否,Rozzy,"yozma, yozmasport，in10",US-Stefan-003,US,Stefan,107000,,,,,,,,,
是,"{""link"":""https://www.instagram.com/_onewayjason/?g=5"",""text"":""https://www.instagram.com/_onewayjason/?g=5""}",instagramreels,是,_onewayjason,"yozma, yozmasport，in10",US-Vivi-003,US,Vivi,74000,营销总表,2026-06-07,P3 暂缓,20,普通/小体量达人更需要追踪,2026-06-07,"{""text"":""https://www.instagram.com/p/DYIRV-qp1nC/"",""link"":""https://www.instagram.com/p/DYIRV-qp1nC/""}","{""text"":""https://www.instagram.com/p/DZYekecOrtR/"",""link"":""https://www.instagram.com/p/DZYekecOrtR/""}","{""text"":""https://www.instagram.com/p/DZbM044tfZY/"",""link"":""https://www.instagram.com/p/DZbM044tfZY/""}"
否,"{""link"":""https://www.tiktok.com/@dudedealz?lang=zh-Hans"",""text"":""https://www.tiktok.com/@dudedealz?lang=zh-Hans""}",tiktok,,dudedealz,"yozma, yozmasport，in10",US-Nancy-021,US,Nancy,83200,营销总表,2026-06-07,,,,,,,
否,"{""link"":""https://www.youtube.com/@ENDOPRYSMofficial/videos"",""text"":""https://www.youtube.com/@ENDOPRYSMofficial/videos""}",youtubevideo,否,ENDOPRYSM,"yozma, yozmasport，in10",US-Stefan-006,US,Stefan,28900,营销总表,2026-06-07,,,,,,,
是,"{""link"":""https://www.instagram.com/surron.daniel/"",""text"":""https://www.instagram.com/surron.daniel/""}",instagramreels,否,Surron.daniel,"yozma, yozmasport，in10",US-Lexy-062,US,Lexy,8900,营销总表,2026-06-07,P0 立刻追踪,135,2026合作未上线/未登记上线；当前本地未登记视频；普通/小体量达人更需要追踪,2026-06-07,,,
否,"{""link"":""https://www.youtube.com/@DriftEight"",""text"":""https://www.youtube.com/@DriftEight""}",youtube,,drifteight,"yozma, yozmasport，in10",US-Stefan-056,US,Stefan,14400,营销总表,2026-06-07,,,,,,,
是,"{""link"":""https://www.youtube.com/@Reckless_Rides/videos"",""text"":""https://www.youtube.com/@Reckless_Rides/videos""}",youtubevideo,是,Reckless_Rides,"yozma, yozmasport，in10",US-Ryan-048,US,Ryan,114000,,,P2 低频追踪,75,2026普通达人需继续追上线；普通/小体量达人更需要追踪,2026-06-07,"{""text"":""https://www.youtube.com/watch?v=uQXl218SUzw"",""link"":""https://www.youtube.com/watch?v=uQXl218SUzw""}",,
是,"{""link"":""https://www.youtube.com/@surron.daniel"",""text"":""https://www.youtube.com/@surron.daniel""}",youtubevideo,否,Surron.daniel,"yozma, yozmasport，in10",US-Lexy-062,US,Lexy,8900,营销总表,2026-06-07,P0 立刻追踪,135,2026合作未上线/未登记上线；当前本地未登记视频；普通/小体量达人更需要追踪,2026-06-07,,,
是,"{""link"":""https://www.instagram.com/jensdransfield/"",""text"":""https://www.instagram.com/jensdransfield/""}",instagramreels,否,jens-dransfield,"yozma, yozmasport，in10",US-Ryan-051,US,Ryan,31000,营销总表,2026-06-07,P0 立刻追踪,135,2026合作未上线/未登记上线；当前本地未登记视频；普通/小体量达人更需要追踪,2026-06-07,,,
是,"{""link"":""https://www.youtube.com/@Estensei/shorts"",""text"":""https://www.youtube.com/@Estensei/shorts""}",youtubeshort,是,Estensei,"yozma, yozmasport，in10",UK-Zoe-004,UK,Zoe,27800,,,P2 低频追踪,75,2026普通达人需继续追上线；普通/小体量达人更需要追踪,2026-06-07,"{""text"":""https://www.youtube.com/shorts/xXOqxF9iNKI"",""link"":""https://www.youtube.com/shorts/xXOqxF9iNKI""}","{""text"":""https://www.youtube.com/shorts/qWV5ECPVGOQ"",""link"":""https://www.youtube.com/shorts/qWV5ECPVGOQ""}","{""text"":""https://www.youtube.com/shorts/dplChINTwYs"",""link"":""https://www.youtube.com/shorts/dplChINTwYs""}"
是,"{""link"":""https://www.youtube.com/@thebikecave/videos"",""text"":""https://www.youtube.com/@thebikecave/videos""}",youtube,,The Bike Cave,"yozma, yozmasport，in10",US-Stefan-067,US,Stefan,91800,营销总表,2026-06-07,P3 暂缓,20,普通/小体量达人更需要追踪,2026-06-07,,,
否,"{""link"":""https://www.youtube.com/@professor_pouncey/videos"",""text"":""https://www.youtube.com/@professor_pouncey/videos""}",youtubevideo,否,professor_pouncey,"yozma, yozmasport，in10",US-Stefan-038,US,Stefan,687000,营销总表,2026-06-07,,,,,,,
否,"{""link"":""https://www.youtube.com/@Bikelife_eddy"",""text"":""https://www.youtube.com/@Bikelife_eddy""}",youtube,,bikelife_eddy,"yozma, yozmasport，in10",US-Stefan-073,US,Stefan,8000,营销总表,2026-06-07,,,,,,,
否,"{""link"":""https://www.tiktok.com/@dizzydyl"",""text"":""https://www.tiktok.com/@dizzydyl""}",tiktok,,dizzydyl,"yozma, yozmasport，in10",US-Stefan-110,US,Stefan,1200000,营销总表,2026-06-07,,,,,,,
是,"{""link"":""https://www.instagram.com/hollywoodhonda/"",""text"":""https://www.instagram.com/hollywoodhonda/""}",instagramreels,否,Hollywood Honda,"yozma, yozmasport，in10",EU-Zoe-022,EU,Zoe,65800,营销总表,2026-06-07,P2 低频追踪,75,2026普通达人需继续追上线；普通/小体量达人更需要追踪,2026-06-07,,,
是,"{""link"":""https://www.youtube.com/@FilipeView/shorts"",""text"":""https://www.youtube.com/@FilipeView/shorts""}",youtubeshort,否,Filipe View,"yozma, yozmasport，in10",EU-Zoe-008,EU,Zoe,134000,营销总表,2026-06-07,P3 暂缓,-50,头腰部已上线且未出单，低优先,2026-06-07,,,
否,"{""link"":""https://www.tiktok.com/@mar.f1icks"",""text"":""https://www.tiktok.com/@mar.f1icks""}",tiktok,否,mar.f1icks,"yozma, yozmasport，in10",US-Stefan-135,US,Stefan,200,营销总表,2026-06-07,P2 低频追踪,75,2026普通达人需继续追上线；普通/小体量达人更需要追踪,2026-06-07,,,
是,"{""link"":""https://www.tiktok.com/@nova_dktrott?lang=en"",""text"":""https://www.tiktok.com/@nova_dktrott?lang=en""}",tiktok,是,nova_dktrott,"yozma, yozmasport，in10",EU-Zoe-044,EU,Zoe,20100,,,P0 立刻追踪,135,2026合作未上线/未登记上线；当前本地未登记视频；普通/小体量达人更需要追踪,2026-06-07,"{""text"":""https://www.tiktok.com/@nova_dktrott/video/7648268316045331744"",""link"":""https://www.tiktok.com/@nova_dktrott/video/7648268316045331744""}",,
否,"{""link"":""https://www.youtube.com/@Revnsk8/shorts"",""text"":""https://www.youtube.com/@Revnsk8/shorts""}",youtubeshort,是,revnsk8,"yozma, yozmasport，in10",US-Lexy-008,US,Lexy,3270,,,,,,,"{""text"":""https://www.youtube.com/shorts/94mdpEDqnlI"",""link"":""https://www.youtube.com/shorts/94mdpEDqnlI""}","{""text"":""https://www.youtube.com/shorts/nNLtXA4u8d8"",""link"":""https://www.youtube.com/shorts/nNLtXA4u8d8""}",
是,"{""link"":""https://www.youtube.com/@BikestarChris/shorts"",""text"":""https://www.youtube.com/@BikestarChris/shorts""}",youtubeshort,是,bikestar.chris,"yozma, yozmasport，in10",US-Stefan-045,US,Stefan,12100,,,P3 暂缓,20,普通/小体量达人更需要追踪,2026-06-07,"{""text"":""https://www.youtube.com/shorts/p89CLbiAlH0"",""link"":""https://www.youtube.com/shorts/p89CLbiAlH0""}",,
是,"{""link"":""https://www.instagram.com/gotmyownhashtags/"",""text"":""https://www.instagram.com/gotmyownhashtags/""}",instagramreels,否,gotmyownhashtags,"yozma, yozmasport，in10",US带货-Lexy-0032,US,Lexy,,,,P1 本周追踪,115,2026合作未上线/未登记上线；当前本地未登记视频,2026-06-07,,,
否,"{""link"":""https://www.youtube.com/@SHREDDIEMCSKATE/shorts"",""text"":""https://www.youtube.com/@SHREDDIEMCSKATE/shorts""}",youtube,,SHREDDIE MCSKATE,"yozma, yozmasport，in10",US-Stefan-082,US,Stefan,48000,营销总表,2026-06-07,,,,,,,
是,"{""link"":""https://www.youtube.com/@865bikes/shorts"",""text"":""https://www.youtube.com/@865bikes/shorts""}",youtubeshort,否,865.bikes,"yozma, yozmasport，in10",US-Lexy-080,US,Lexy,17900,,,P0 立刻追踪,135,2026合作未上线/未登记上线；当前本地未登记视频；普通/小体量达人更需要追踪,2026-06-07,,,
否,"{""link"":""https://www.youtube.com/@phethanfix/shorts"",""text"":""https://www.youtube.com/@phethanfix/shorts""}",youtubeshort,否,Phethanfix,"yozma, yozmasport，in10",US-Stefan-023,US,Stefan,360000,,,,,,,,,
否,"{""link"":""https://www.tiktok.com/@72v_felon"",""text"":""https://www.tiktok.com/@72v_felon""}",tiktok,,72v_felon,"yozma, yozmasport，in10",US-Nancy-008,US,Nancy,9800,营销总表,2026-06-07,,,,,,,
否,"{""link"":""https://www.youtube.com/@Rawstuntz/shorts"",""text"":""https://www.youtube.com/@Rawstuntz/shorts""}",youtube,,Rawstuntz,"yozma, yozmasport，in10",US-Stefan-029,US,Stefan,136000,营销总表,2026-06-07,,,,,,,
是,"{""link"":""https://www.youtube.com/@mattfrancisofficial/shorts"",""text"":""https://www.youtube.com/@mattfrancisofficial/shorts""}",youtubeshort,是,MattFrancisOfficial,"yozma, yozmasport，in10",UK-Ryan-003,UK,Ryan,12900,,,P2 低频追踪,75,2026普通达人需继续追上线；普通/小体量达人更需要追踪,2026-06-07,"{""text"":""https://www.youtube.com/shorts/0yJSdNMqySY"",""link"":""https://www.youtube.com/shorts/0yJSdNMqySY""}",,
是,"{""link"":""https://www.youtube.com/@FRAYERTV/shorts"",""text"":""https://www.youtube.com/@FRAYERTV/shorts""}",youtubeshort,是,FRAYER,"yozma, yozmasport，in10",EU-Zoe-011,EU,Zoe,135000,,,P3 暂缓,-50,头腰部已上线且未出单，低优先,2026-06-07,"{""text"":""https://www.youtube.com/shorts/ajr31l_P2oU"",""link"":""https://www.youtube.com/shorts/ajr31l_P2oU""}",,
否,"{""link"":""https://www.instagram.com/teamtalentless/"",""text"":""https://www.instagram.com/teamtalentless/""}",instagram,,teamtalentless,"yozma, yozmasport，in10",US-Ryan-007,US,Ryan,25300,营销总表,2026-06-07,,,,,,,
否,"{""link"":""https://www.youtube.com/@reactshon/shorts"",""text"":""https://www.youtube.com/@reactshon/shorts""}",youtubeshort,否,reactshon,"yozma, yozmasport，in10",US-Stefan-111,US,Stefan,343,,,,,,,,,
否,"{""link"":""https://www.tiktok.com/@jar7d"",""text"":""https://www.tiktok.com/@jar7d""}",tiktok,,jar7d_,"yozma, yozmasport，in10",US-Stefan-109,US,Stefan,168000,营销总表,2026-06-07,,,,,,,
是,"{""link"":""https://www.youtube.com/@meftg4/videos"",""text"":""https://www.youtube.com/@meftg4/videos""}",youtubevideo,否,meft,"yozma, yozmasport，in10",EU-Zoe-032,EU,Zoe,13000,营销总表,2026-06-07,P0 立刻追踪,135,2026合作未上线/未登记上线；当前本地未登记视频；普通/小体量达人更需要追踪,2026-06-07,,,
否,"{""link"":""https://www.tiktok.com/@ultra_coopa"",""text"":""https://www.tiktok.com/@ultra_coopa""}",tiktok,,lbxezekiell,"yozma, yozmasport，in10",US-Stefan-127,US,Stefan,36800,营销总表,2026-06-07,,,,,,,
是,"{""link"":""https://www.youtube.com/@tahoe_carter/shorts"",""text"":""https://www.youtube.com/@tahoe_carter/shorts""}",youtubeshort,否,tahoe_carter,"yozma, yozmasport，in10",US-Lexy-088,US,Lexy,103000,营销总表,2026-06-07,P1 本周追踪,115,2026合作未上线/未登记上线；当前本地未登记视频,2026-06-07,,,
否,"{""link"":""https://www.tiktok.com/@zw_squid_ink"",""text"":""https://www.tiktok.com/@zw_squid_ink""}",tiktok,,zw_squid_ink,"yozma, yozmasport，in10",US-Ryan-008,US,Ryan,76000,营销总表,2026-06-07,,,,,,,
否,"{""link"":""https://www.tiktok.com/@wanderwithgeorge"",""text"":""https://www.tiktok.com/@wanderwithgeorge""}",tiktok,否,wanderwithgeorge,"yozma, yozmasport，in10",US-Stefan-001,US,Stefan,10000,营销总表,2026-06-07,,,,,,,
否,"{""link"":""https://www.youtube.com/@EdwinOlding/videos"",""text"":""https://www.youtube.com/@EdwinOlding/videos""}",youtube,,Edwin Olding,"yozma, yozmasport，in10",US-Stefan-037,US,Stefan,231000,营销总表,2026-06-07,,,,,,,
是,"{""link"":""https://www.tiktok.com/@rhodawelch19978?lang=zh-Hans"",""text"":""https://www.tiktok.com/@rhodawelch19978?lang=zh-Hans""}",tiktok,否,IVOP26,"yozma, yozmasport，in10",EU-Ryan-004,EU,Ryan,120000,营销总表,2026-06-07,P1 本周追踪,115,2026合作未上线/未登记上线；当前本地未登记视频,2026-06-07,,,
是,"{""link"":""https://www.tiktok.com/@ridshawty"",""text"":""https://www.tiktok.com/@ridshawty""}",tiktok,,ridshawty,"yozma, yozmasport，in10",US-Stefan-071,US,Stefan,14400,营销总表,2026-06-07,P3 暂缓,20,普通/小体量达人更需要追踪,2026-06-07,,,
否,"{""link"":""https://www.youtube.com/@wanderwithgeorge/shorts"",""text"":""https://www.youtube.com/@wanderwithgeorge/shorts""}",youtube,否,wanderwithgeorge,"yozma, yozmasport，in10",US-Stefan-001,US,Stefan,953,,,,,,,,,
否,"{""link"":""https://www.youtube.com/@FearlessRides8/shorts"",""text"":""https://www.youtube.com/@FearlessRides8/shorts""}",youtubeshort,否,Fearless Rides,"yozma, yozmasport，in10",US-Stefan-081,US,Stefan,10400,营销总表,2026-06-07,,,,,,,
否,"{""link"":""https://www.youtube.com/@sansp.ami33/shorts"",""text"":""https://www.youtube.com/@sansp.ami33/shorts""}",youtube,,Sansp.ami33,"yozma, yozmasport，in10",EU-Zoe-005,EU,Zoe,65300,营销总表,2026-06-07,,,,,,,
是,"{""link"":""https://www.tiktok.com/@bikingwtheo"",""text"":""https://www.tiktok.com/@bikingwtheo""}",tiktok,,bikingwtheo,"yozma, yozmasport，in10",US-Stefan-044,US,Stefan,76400,营销总表,2026-06-07,P3 暂缓,20,普通/小体量达人更需要追踪,2026-06-07,,,
是,"{""link"":""https://www.tiktok.com/@thisis.thanh"",""text"":""https://www.tiktok.com/@thisis.thanh""}",tiktok,否,thisis.thanh,"yozma, yozmasport，in10",EU-Zoe-029,EU,Zoe,41300,营销总表,2026-06-07,P0 立刻追踪,135,2026合作未上线/未登记上线；当前本地未登记视频；普通/小体量达人更需要追踪,2026-06-07,,,
是,"{""link"":""https://www.instagram.com/giulio_boero/"",""text"":""https://www.instagram.com/giulio_boero/""}",instagramreels,是,Giulio Boero,"yozma, yozmasport，in10",EU-Zoe-039,EU,Zoe,166000,营销总表,2026-06-07,P3 暂缓,-50,头腰部已上线且未出单，低优先,2026-06-07,"{""text"":""https://www.instagram.com/p/DZFw-4rN6Hj/"",""link"":""https://www.instagram.com/p/DZFw-4rN6Hj/""}","{""text"":""https://www.instagram.com/p/DZKP_EfNUYH/"",""link"":""https://www.instagram.com/p/DZKP_EfNUYH/""}",
否,"{""link"":""https://www.youtube.com/@RenegadeB1ker/videos"",""text"":""https://www.youtube.com/@RenegadeB1ker/videos""}",youtubevideo,否,renegadeb1ker,"yozma, yozmasport，in10",US-Lexy-026,US,Lexy,293000,营销总表,2026-06-07,,,,,,,
是,"{""link"":""https://www.youtube.com/@Ultra_Graham/shorts"",""text"":""https://www.youtube.com/@Ultra_Graham/shorts""}",youtube,,ultragraham_,"yozma, yozmasport，in10",US-Nancy-025,US,Nancy,26000,营销总表,2026-06-07,P0 立刻追踪,120,正在出单；普通/小体量达人更需要追踪,2026-06-07,,,
是,"{""link"":""https://www.youtube.com/@zeeksteryt/videos"",""text"":""https://www.youtube.com/@zeeksteryt/videos""}",youtube,,zeekster,"yozma, yozmasport，in10",US-Stefan-047,US,Stefan,188000,营销总表,2026-06-07,P0 立刻追踪,120,正在出单；普通/小体量达人更需要追踪,2026-06-07,,,
否,"{""link"":""https://www.instagram.com/lbx.dev/"",""text"":""https://www.instagram.com/lbx.dev/""}",instagram,,lbx.dev,"yozma, yozmasport，in10",US-Nancy-022,US,Nancy,13400,营销总表,2026-06-07,,,,,,,
是,"{""link"":""https://www.youtube.com/@SwartleyMedia"",""text"":""https://www.youtube.com/@SwartleyMedia""}",youtubevideo,是,SwartleyMedia,"yozma, yozmasport，in10",US-Ryan-004,US,Ryan,6370,,,P2 低频追踪,75,2026普通达人需继续追上线；普通/小体量达人更需要追踪,2026-06-07,"{""text"":""https://www.youtube.com/watch?v=8-c-pnQIDUs"",""link"":""https://www.youtube.com/watch?v=8-c-pnQIDUs""}",,
是,"{""link"":""https://www.instagram.com/moeandshadi/"",""text"":""https://www.instagram.com/moeandshadi/""}",instagramreels,否,The Sargi Family,"yozma, yozmasport，in10",US-Ryan-031,US,Ryan,382000,营销总表,2026-06-07,P1 本周追踪,115,2026合作未上线/未登记上线；当前本地未登记视频,2026-06-07,,,
否,"{""link"":""https://www.youtube.com/@SofloEride/shorts"",""text"":""https://www.youtube.com/@SofloEride/shorts""}",youtubeshort,否,soflo.eride,"yozma, yozmasport，in10",US-Lexy-014,US,Lexy,8100,营销总表,2026-06-07,,,,,,,
否,"{""link"":""https://www.tiktok.com/@the_real_tuttzsi?lang=zh-Hans"",""text"":""https://www.tiktok.com/@the_real_tuttzsi?lang=zh-Hans""}",tiktok,,Tuttzsi,"yozma, yozmasport，in10",US-Lexy-022,US,Lexy,10000,营销总表,2026-06-07,,,,,,,
是,"{""link"":""https://www.youtube.com/@Surron_Fisher/shorts"",""text"":""https://www.youtube.com/@Surron_Fisher/shorts""}",youtubeshort,否,Surron_Fisher,"yozma, yozmasport，in10",US-Ryan-002,US,Ryan,5930,,,P2 低频追踪,75,2026普通达人需继续追上线；普通/小体量达人更需要追踪,2026-06-07,,,
否,"{""link"":""https://www.tiktok.com/@citroen.ami33?lang=en"",""text"":""https://www.tiktok.com/@citroen.ami33?lang=en""}",tiktok,,Sansp.ami33,"yozma, yozmasport，in10",EU-Zoe-005,EU,Zoe,65300,营销总表,2026-06-07,,,,,,,
否,"{""link"":""https://www.youtube.com/@Soflo.LucasYT"",""text"":""https://www.youtube.com/@Soflo.LucasYT""}",youtubevideo,否,bigboylcas,"yozma, yozmasport，in10",US-Lexy-013,US,Lexy,40300,营销总表,2026-06-07,P3 暂缓,20,普通/小体量达人更需要追踪,2026-06-07,,,
否,"{""link"":""https://www.youtube.com/@redshogo/videos"",""text"":""https://www.youtube.com/@redshogo/videos""}",youtubevideo,否,redshogo,"yozma, yozmasport，in10",US-Lexy-028,US,Lexy,63100,,,,,,,,,
否,"{""link"":""https://www.youtube.com/@teamtalentless/videos"",""text"":""https://www.youtube.com/@teamtalentless/videos""}",youtubevideo,否,teamtalentless,"yozma, yozmasport，in10",US-Ryan-007,US,Ryan,28100,营销总表,2026-06-07,,,,,,,
否,"{""link"":""https://www.tiktok.com/@hazedrider?lang=zh-Hans"",""text"":""https://www.tiktok.com/@hazedrider?lang=zh-Hans""}",tiktok,,hazedrider,"yozma, yozmasport，in10",US-Lexy-027,US,Lexy,121000,营销总表,2026-06-07,,,,,,,
否,"{""link"":""https://www.tiktok.com/@rex.brazil01"",""text"":""https://www.tiktok.com/@rex.brazil01""}",tiktok,否,rex.brazil01,"yozma, yozmasport，in10",US-Stefan-061,US,Stefan,55400,营销总表,2026-06-07,,,,,,,
否,"{""link"":""https://www.tiktok.com/@thehockingadventurebus"",""text"":""https://www.tiktok.com/@thehockingadventurebus""}",tiktok,,thehockingadventurebus,"yozma, yozmasport，in10",US-Stefan-140,US,Stefan,264000,营销总表,2026-06-07,P3 暂缓,-50,头腰部已上线且未出单，低优先,2026-06-07,,,
否,"{""link"":""https://www.instagram.com/anders_surron/"",""text"":""https://www.instagram.com/anders_surron/""}",instagram,,anders_surron,"yozma, yozmasport，in10",US-Stefan-104,US,Stefan,24500,营销总表,2026-06-07,,,,,,,
是,"{""link"":""https://www.instagram.com/ridstarlaw/"",""text"":""https://www.instagram.com/ridstarlaw/""}",instagram,,ridstarlaw,"yozma, yozmasport，in10",US-Vivi-007,US,Vivi,38500,营销总表,2026-06-07,P0 立刻追踪,120,正在出单；普通/小体量达人更需要追踪,2026-06-07,,,
是,"{""link"":""https://www.instagram.com/smartattackracing"",""text"":""https://www.instagram.com/smartattackracing""}",instagramreels,是,smartattackracing,"yozma, yozmasport，in10",US-Ryan-044,US,Ryan,,,,P3 暂缓,-50,头腰部已上线且未出单，低优先,2026-06-07,"{""link"":""https://www.instagram.com/p/DYw8dPHuSuX/"",""text"":""https://www.instagram.com/p/DYw8dPHuSuX/""}","{""text"":""https://www.instagram.com/p/DYkQHbiuLzM/"",""link"":""https://www.instagram.com/p/DYkQHbiuLzM/""}",
