是否监控,红人链接,平台,是否出视频,红人名称,样品型号,红人编码,地区,负责人,红人粉丝数据,粉丝数据来源,粉丝数据更新时间,追踪优先级,追踪评分,追踪原因,追踪批次更新时间,url,url2,url3
是,"{""link"":""https://www.youtube.com/@ridstarlaw/shorts"",""text"":""https://www.youtube.com/@ridstarlaw/shorts""}",youtubeshort,是,ridstarlaw,"yozma, yozmasport，in10",US-Vivi-007,US,Vivi,21600,,,P0 立刻追踪,120,正在出单；普通/小体量达人更需要追踪,2026-06-07,"{""link"":""https://www.youtube.com/shorts/rbdmLoHESY4"",""text"":""https://www.youtube.com/shorts/rbdmLoHESY4""}","{""text"":""https://www.youtube.com/shorts/uI2s-Y6kgdw"",""link"":""https://www.youtube.com/shorts/uI2s-Y6kgdw""}","{""text"":""https://www.youtube.com/shorts/lmoHrhl2-ds"",""link"":""https://www.youtube.com/shorts/lmoHrhl2-ds""}"
是,"{""link"":""https://www.youtube.com/@StarlineWorld"",""text"":""https://www.youtube.com/@StarlineWorld""}",youtubevideo,否,starlineworld.co,"yozma, yozmasport，in10",US-Stefan-079,US,Stefan,25700,,,P3 暂缓,20,普通/小体量达人更需要追踪,2026-06-07,,,
否,"{""link"":""https://www.youtube.com/@NAMMERZ-RR/shorts"",""text"":""https://www.youtube.com/@NAMMERZ-RR/shorts""}",youtube,否,nammerz.rr,"yozma, yozmasport，in10",US-Lexy-006,US,Lexy,784400,营销总表,2026-06-07,,,,,,,
否,"{""link"":""https://www.youtube.com/@keepingupwiththelewises/videos"",""text"":""https://www.youtube.com/@keepingupwiththelewises/videos""}",youtube,否,keepingupwiththelewises,"yozma, yozmasport，in10",US-Stefan-052,US,Stefan,200000,营销总表,2026-06-07,,,,,,,
否,"{""link"":""https://www.tiktok.com/@revnsk8?lang=en"",""text"":""https://www.tiktok.com/@revnsk8?lang=en""}",tiktok,是,revnsk8,"yozma, yozmasport，in10",US-Lexy-008,US,Lexy,379900,,,,,,,"{""text"":""https://www.tiktok.com/@revnsk8/video/7648058090000043295"",""link"":""https://www.tiktok.com/@revnsk8/video/7648058090000043295""}",,
是,"{""link"":""https://www.youtube.com/@Ultra_Graham/shorts"",""text"":""https://www.youtube.com/@Ultra_Graham/shorts""}",youtubeshort,否,ultragraham_,"yozma, yozmasport，in10",US-Nancy-025,US,Nancy,26000,营销总表,2026-06-07,P0 立刻追踪,120,正在出单；普通/小体量达人更需要追踪,2026-06-07,,,
否,"{""link"":""https://www.youtube.com/@chrisrasizzi/videos"",""text"":""https://www.youtube.com/@chrisrasizzi/videos""}",youtubevideo,否,chrisrasizzi,"yozma, yozmasport，in10",US-Stefan-147,US,Stefan,38500,营销总表,2026-06-07,P0 立刻追踪,135,2026合作未上线/未登记上线；当前本地未登记视频；普通/小体量达人更需要追踪,2026-06-07,,,
是,"{""link"":""https://www.tiktok.com/@patoutdoors_yt"",""text"":""https://www.tiktok.com/@patoutdoors_yt""}",tiktok,否,Pat Outdoors,"yozma, yozmasport，in10",US-Stefan-012,US,Stefan,16300,,,P3 暂缓,20,普通/小体量达人更需要追踪,2026-06-07,,,
是,"{""link"":""https://www.instagram.com/ttccupp/"",""text"":""https://www.instagram.com/ttccupp/""}",instagramreels,否,Tcup,"yozma, yozmasport，in10",US-Lexy-069,US,Lexy,47000,营销总表,2026-06-07,P0 立刻追踪,135,2026合作未上线/未登记上线；当前本地未登记视频；普通/小体量达人更需要追踪,2026-06-07,,,
否,"{""link"":""https://www.youtube.com/@onewaykaa/shorts"",""text"":""https://www.youtube.com/@onewaykaa/shorts""}",youtube,否,oneway.kaa,"yozma, yozmasport，in10",US-Stefan-033,US,Stefan,28100,,,,,,,,,
